date,pair,A_ticker,A_price,B_ticker,B_price,fx_used,curA,curB,denom
2015-04-08,IWDA_AS_XDWD_DE,IWDA.AS,40.2400016784668,XDWD.DE,44.060001373291016,1.0,EUR,EUR,B
2015-04-09,IWDA_AS_XDWD_DE,IWDA.AS,40.81999969482422,XDWD.DE,44.689998626708984,1.0,EUR,EUR,B
2015-04-12,IWDA_AS_XDWD_DE,IWDA.AS,40.900001525878906,XDWD.DE,44.79999923706055,1.0,EUR,EUR,B
2015-04-13,IWDA_AS_XDWD_DE,IWDA.AS,40.525001525878906,XDWD.DE,44.33000183105469,1.0,EUR,EUR,B
2015-04-14,IWDA_AS_XDWD_DE,IWDA.AS,40.91999816894531,XDWD.DE,44.790000915527344,1.0,EUR,EUR,B
2015-04-15,IWDA_AS_XDWD_DE,IWDA.AS,40.53499984741211,XDWD.DE,44.40999984741211,1.0,EUR,EUR,B
2015-04-16,IWDA_AS_XDWD_DE,IWDA.AS,39.880001068115234,XDWD.DE,43.72999954223633,1.0,EUR,EUR,B
2015-04-19,IWDA_AS_XDWD_DE,IWDA.AS,40.30500030517578,XDWD.DE,44.189998626708984,1.0,EUR,EUR,B
2015-04-20,IWDA_AS_XDWD_DE,IWDA.AS,40.369998931884766,XDWD.DE,44.25,1.0,EUR,EUR,B
2015-04-21,IWDA_AS_XDWD_DE,IWDA.AS,40.470001220703125,XDWD.DE,44.380001068115234,1.0,EUR,EUR,B
2015-04-22,IWDA_AS_XDWD_DE,IWDA.AS,40.34000015258789,XDWD.DE,44.20000076293945,1.0,EUR,EUR,B
2015-04-23,IWDA_AS_XDWD_DE,IWDA.AS,40.3650016784668,XDWD.DE,44.22999954223633,1.0,EUR,EUR,B
2015-04-26,IWDA_AS_XDWD_DE,IWDA.AS,40.44499969482422,XDWD.DE,44.29999923706055,1.0,EUR,EUR,B
2015-04-27,IWDA_AS_XDWD_DE,IWDA.AS,39.970001220703125,XDWD.DE,43.810001373291016,1.0,EUR,EUR,B
2015-04-28,IWDA_AS_XDWD_DE,IWDA.AS,39.185001373291016,XDWD.DE,42.88999938964844,1.0,EUR,EUR,B
2015-04-29,IWDA_AS_XDWD_DE,IWDA.AS,38.8849983215332,XDWD.DE,42.560001373291016,1.0,EUR,EUR,B
2015-05-03,IWDA_AS_XDWD_DE,IWDA.AS,39.20000076293945,XDWD.DE,42.959999084472656,1.0,EUR,EUR,B
2015-05-04,IWDA_AS_XDWD_DE,IWDA.AS,38.625,XDWD.DE,42.349998474121094,1.0,EUR,EUR,B
2015-05-05,IWDA_AS_XDWD_DE,IWDA.AS,38.1150016784668,XDWD.DE,41.790000915527344,1.0,EUR,EUR,B
2015-05-06,IWDA_AS_XDWD_DE,IWDA.AS,38.27000045776367,XDWD.DE,41.93000030517578,1.0,EUR,EUR,B
2015-05-07,IWDA_AS_XDWD_DE,IWDA.AS,39.084999084472656,XDWD.DE,42.90999984741211,1.0,EUR,EUR,B
2015-05-10,IWDA_AS_XDWD_DE,IWDA.AS,39.21500015258789,XDWD.DE,43.0,1.0,EUR,EUR,B
2015-05-11,IWDA_AS_XDWD_DE,IWDA.AS,38.744998931884766,XDWD.DE,42.439998626708984,1.0,EUR,EUR,B
2015-05-12,IWDA_AS_XDWD_DE,IWDA.AS,38.46500015258789,XDWD.DE,42.150001525878906,1.0,EUR,EUR,B
2015-05-13,IWDA_AS_XDWD_DE,IWDA.AS,38.720001220703125,XDWD.DE,42.45000076293945,1.0,EUR,EUR,B
2015-05-14,IWDA_AS_XDWD_DE,IWDA.AS,38.540000915527344,XDWD.DE,42.2400016784668,1.0,EUR,EUR,B
2015-05-17,IWDA_AS_XDWD_DE,IWDA.AS,38.875,XDWD.DE,42.630001068115234,1.0,EUR,EUR,B
2015-05-18,IWDA_AS_XDWD_DE,IWDA.AS,39.625,XDWD.DE,43.400001525878906,1.0,EUR,EUR,B
2015-05-19,IWDA_AS_XDWD_DE,IWDA.AS,39.76499938964844,XDWD.DE,43.560001373291016,1.0,EUR,EUR,B
2015-05-20,IWDA_AS_XDWD_DE,IWDA.AS,39.810001373291016,XDWD.DE,43.63999938964844,1.0,EUR,EUR,B
2015-05-21,IWDA_AS_XDWD_DE,IWDA.AS,39.98500061035156,XDWD.DE,43.83000183105469,1.0,EUR,EUR,B
2015-05-25,IWDA_AS_XDWD_DE,IWDA.AS,40.005001068115234,XDWD.DE,43.91999816894531,1.0,EUR,EUR,B
2015-05-26,IWDA_AS_XDWD_DE,IWDA.AS,40.22999954223633,XDWD.DE,44.099998474121094,1.0,EUR,EUR,B
2015-05-27,IWDA_AS_XDWD_DE,IWDA.AS,40.11000061035156,XDWD.DE,43.95000076293945,1.0,EUR,EUR,B
2015-05-28,IWDA_AS_XDWD_DE,IWDA.AS,39.54999923706055,XDWD.DE,43.400001525878906,1.0,EUR,EUR,B
2015-05-31,IWDA_AS_XDWD_DE,IWDA.AS,39.79499816894531,XDWD.DE,43.59000015258789,1.0,EUR,EUR,B
2015-06-01,IWDA_AS_XDWD_DE,IWDA.AS,39.130001068115234,XDWD.DE,42.9900016784668,1.0,EUR,EUR,B
2015-06-02,IWDA_AS_XDWD_DE,IWDA.AS,38.92499923706055,XDWD.DE,42.66999816894531,1.0,EUR,EUR,B
2015-06-03,IWDA_AS_XDWD_DE,IWDA.AS,38.55500030517578,XDWD.DE,42.25,1.0,EUR,EUR,B
2015-06-04,IWDA_AS_XDWD_DE,IWDA.AS,38.744998931884766,XDWD.DE,42.4900016784668,1.0,EUR,EUR,B
